Bright Enobakhare,23,Sun Feb 08 01:00:00 CET 1998,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Bruno Écuélé Manga,33,Sat Jul 16 02:00:00 CEST 1988,Premier League,2018/2019,Defender,0,Gabon,0,0,0,0,0
Bruno Saltor Grau,41,Wed Oct 01 01:00:00 CET 1980,Premier League,2018/2019,Defender,0,Spain,0,0,0,0,0
Caglar Söyüncü,25,Thu May 23 02:00:00 CEST 1996,Premier League,2018/2019,Defender,0,Turkey,0,0,0,0,0
Callum Hudson-Odoi,21,Tue Nov 07 01:00:00 CET 2000,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Callum Paterson,27,Thu Oct 13 01:00:00 CET 1994,Premier League,2018/2019,Defender,0,Scotland,4,3,1,0,0
Callum Roberts,24,Mon Apr 14 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Callum Slattery,22,Mon Feb 08 01:00:00 CET 1999,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Callum Wilson,29,Thu Feb 27 01:00:00 CET 1992,Premier League,2018/2019,Forward,0,England,14,5,9,1,1
Calum Chambers,26,Fri Jan 20 01:00:00 CET 1995,Premier League,2018/2019,Defender,0,England,2,2,0,0,0
Cameron John,22,Tue Aug 24 02:00:00 CEST 1999,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Carl Jenkinson,29,Sat Feb 08 01:00:00 CET 1992,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Carlos Sánchez,35,Thu Feb 06 01:00:00 CET 1986,Premier League,2018/2019,Midfielder,0,Colombia,0,0,0,0,0
Cedric Soares,30,Sat Aug 31 02:00:00 CEST 1991,Premier League,2018/2019,Defender,0,Portugal,1,1,0,0,0
Cenk Tosun,30,Fri Jun 07 02:00:00 CEST 1991,Premier League,2018/2019,Forward,0,Turkey,3,2,1,0,0
Cesar Azpilicueta,32,Mon Aug 28 02:00:00 CEST 1989,Premier League,2018/2019,Defender,0,Spain,1,0,1,0,0
Cesc Fabregas,34,Mon May 04 02:00:00 CEST 1987,Premier League,2018/2019,Midfielder,0,Spain,0,0,0,0,0
Charlie Austin,32,Wed Jul 05 02:00:00 CEST 1989,Premier League,2018/2019,Forward,0,England,2,1,1,0,1
Charlie Daniels,35,Sun Sep 07 02:00:00 CEST 1986,Premier League,2018/2019,Defender,0,England,1,1,0,0,0
Charlie Taylor,28,Sat Sep 18 02:00:00 CEST 1993,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Cheikhou Kouyaté,32,Thu Dec 21 01:00:00 CET 1989,Premier League,2018/2019,Midfielder,0,Senegal,0,0,0,0,0
Chris Löwe,32,Sun Apr 16 02:00:00 CEST 1989,Premier League,2018/2019,Defender,0,Germany,0,0,0,0,0
Chris Mepham,24,Wed Nov 05 01:00:00 CET 1997,Premier League,2018/2019,Defender,0,Wales,0,0,0,0,0
Chris Smalling,32,Wed Nov 22 01:00:00 CET 1989,Premier League,2018/2019,Defender,0,England,1,0,1,0,0
Chris Wood,30,Sat Dec 07 01:00:00 CET 1991,Premier League,2018/2019,Forward,0,New Zealand,10,4,6,0,0
Christian Atsu Twasam,30,Fri Jan 10 01:00:00 CET 1992,Premier League,2018/2019,Midfielder,0,Ghana,1,1,0,0,0
Christian Benteke,31,Mon Dec 03 01:00:00 CET 1990,Premier League,2018/2019,Forward,0,Belgium,1,0,1,0,0
Christian Eriksen,29,Fri Feb 14 01:00:00 CET 1992,Premier League,2018/2019,Midfielder,0,Denmark,8,6,2,0,0
Christian Fuchs,35,Mon Apr 07 02:00:00 CEST 1986,Premier League,2018/2019,Defender,0,Austria,0,0,0,0,0
Christian Kabasele,30,Sun Feb 24 01:00:00 CET 1991,Premier League,2018/2019,Defender,0,Belgium,0,0,0,0,0
Christopher Schindler,31,Sun Apr 29 02:00:00 CEST 1990,Premier League,2018/2019,Defender,0,Germany,1,0,1,0,0
Ciaran Clark,32,Tue Sep 26 01:00:00 CET 1989,Premier League,2018/2019,Defender,0,Republic of Ireland,3,1,2,0,0
Claudio Andrés Bravo Muñoz,38,Wed Apr 13 02:00:00 CEST 1983,Premier League,2018/2019,Goalkeeper,0,Chile,0,0,0,0,0
Collin Quaner,30,Tue Jun 18 02:00:00 CEST 1991,Premier League,2018/2019,Forward,0,Germany,0,0,0,0,0
Connor Wickham,28,Wed Mar 31 02:00:00 CEST 1993,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Conor Coady,28,Thu Feb 25 01:00:00 CET 1993,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Conor Coventry,21,Sat Mar 25 01:00:00 CET 2000,Premier League,2018/2019,Midfielder,0,Republic of Ireland,0,0,0,0,0
Craig Cathcart,32,Mon Feb 06 01:00:00 CET 1989,Premier League,2018/2019,Defender,0,Northern Ireland,3,1,2,0,0
Curtis Jones,20,Tue Jan 30 01:00:00 CET 2001,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Cyrus Christie,29,Wed Sep 30 01:00:00 CET 1992,Premier League,2018/2019,Defender,0,Republic of Ireland,0,0,0,0,0
Dale Stephens,32,Mon Jun 12 02:00:00 CEST 1989,Premier League,2018/2019,Midfielder,0,England,1,0,1,0,0
Damián Emiliano Martínez,29,Wed Sep 02 02:00:00 CEST 1992,Premier League,2018/2019,Goalkeeper,0,Argentina,0,0,0,0,0
Dan Burn,29,Sat May 09 02:00:00 CEST 1992,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Dan Gosling,31,Thu Feb 01 01:00:00 CET 1990,Premier League,2018/2019,Midfielder,0,England,2,0,2,0,0
Daniel Amartey,27,Wed Dec 21 01:00:00 CET 1994,Premier League,2018/2019,Midfielder,0,Ghana,0,0,0,0,0
Daniel Sturridge,32,Fri Sep 01 02:00:00 CEST 1989,Premier League,2018/2019,Forward,0,England,2,1,1,0,0
Daniel William John Ings,29,Thu Jul 23 02:00:00 CEST 1992,Premier League,2018/2019,Forward,0,England,7,3,4,3,0
Daniel Williams,32,Wed Mar 08 01:00:00 CET 1989,Premier League,2018/2019,Midfielder,0,USA,0,0,0,0,0
Danilo,30,Mon Jul 15 02:00:00 CEST 1991,Premier League,2018/2019,Defender,0,Brazil,1,0,1,0,0
Danny Drinkwater,31,Mon Mar 05 01:00:00 CET 1990,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Danny Rose,31,Mon Jul 02 02:00:00 CEST 1990,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Danny Simpson,35,Sun Jan 04 01:00:00 CET 1987,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Danny Ward,28,Tue Jun 22 02:00:00 CEST 1993,Premier League,2018/2019,Goalkeeper,0,Wales,0,0,0,0,0
Danny Ward,31,Sun Dec 09 01:00:00 CET 1990,Premier League,2018/2019,Forward,0,England,1,1,0,0,0
Danny Welbeck,31,Mon Nov 26 01:00:00 CET 1990,Premier League,2018/2019,Forward,0,England,1,1,0,0,0
Daryl Janmaat,32,Sat Jul 22 02:00:00 CEST 1989,Premier League,2018/2019,Defender,0,Netherlands,0,0,0,0,0
David Brooks,24,Tue Jul 08 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,England,7,4,3,0,0
David Button,32,Mon Feb 27 01:00:00 CET 1989,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
David de Gea,31,Wed Nov 07 01:00:00 CET 1990,Premier League,2018/2019,Goalkeeper,0,Spain,0,0,0,0,0
David Junior Hoilett,31,Tue Jun 05 02:00:00 CEST 1990,Premier League,2018/2019,Forward,0,Canada,3,2,1,0,0
David Luiz,34,Wed Apr 22 02:00:00 CEST 1987,Premier League,2018/2019,Defender,0,Brazil,3,3,0,0,0
David Silva,36,Wed Jan 08 01:00:00 CET 1986,Premier League,2018/2019,Midfielder,0,Spain,6,4,2,0,0
Davide Zappacosta,29,Thu Jun 11 02:00:00 CEST 1992,Premier League,2018/2019,Defender,0,Italy,0,0,0,0,0
Davinson Sánchez Mina,25,Wed Jun 12 02:00:00 CEST 1996,Premier League,2018/2019,Defender,0,Colombia,1,1,0,0,0
Davy Pröpper,30,Mon Sep 02 02:00:00 CEST 1991,Premier League,2018/2019,Midfielder,0,Netherlands,1,0,1,0,0
DeAndre Yedlin,28,Fri Jul 09 02:00:00 CEST 1993,Premier League,2018/2019,Defender,0,USA,1,0,1,0,0
Declan Rice,23,Thu Jan 14 01:00:00 CET 1999,Premier League,2018/2019,Midfielder,0,Republic of Ireland,2,2,0,0,0
Dejan Lovren,32,Wed Jul 05 02:00:00 CEST 1989,Premier League,2018/2019,Defender,0,Croatia,1,1,0,0,0
Dele Alli,25,Thu Apr 11 02:00:00 CEST 1996,Premier League,2018/2019,Midfielder,0,England,5,1,4,0,0
Demarai Gray,25,Fri Jun 28 02:00:00 CEST 1996,Premier League,2018/2019,Midfielder,0,England,4,1,3,0,0
Demeaco Duhaney,23,Tue Oct 13 02:00:00 CEST 1998,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Denis Odoi,33,Fri May 27 02:00:00 CEST 1988,Premier League,2018/2019,Defender,0,Belgium,0,0,0,0,0
Denis Suárez,28,Thu Jan 06 01:00:00 CET 1994,Premier League,2018/2019,Midfielder,0,Spain,0,0,0,0,0
Diego Rico,28,Tue Feb 23 01:00:00 CET 1993,Premier League,2018/2019,Defender,0,Spain,0,0,0,0,0
Diogo José Teixeira da Silva,25,Wed Dec 04 01:00:00 CET 1996,Premier League,2018/2019,Midfielder,0,Portugal,9,7,2,0,0
Divock Origi,26,Tue Apr 18 02:00:00 CEST 1995,Premier League,2018/2019,Forward,0,Belgium,3,2,1,0,0
Domingos Quina,22,Thu Nov 18 01:00:00 CET 1999,Premier League,2018/2019,Midfielder,0,Portugal,1,1,0,0,0
Dominic Calvert-Lewin,24,Sun Mar 16 01:00:00 CET 1997,Premier League,2018/2019,Forward,0,England,6,3,3,0,0
Dominic Solanke,24,Sun Sep 14 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Dwight McNeil,22,Mon Nov 22 01:00:00 CET 1999,Premier League,2018/2019,Forward,0,England,3,3,0,0,0
Eden Hazard,31,Mon Jan 07 01:00:00 CET 1991,Premier League,2018/2019,Midfielder,0,Belgium,16,11,5,4,0
Ederson,28,Tue Aug 17 02:00:00 CEST 1993,Premier League,2018/2019,Goalkeeper,0,Brazil,0,0,0,0,0
Edward Nketiah,22,Sun May 30 02:00:00 CEST 1999,Premier League,2018/2019,Forward,0,England,1,0,1,0,0
Elias Kachunga,29,Wed Apr 22 02:00:00 CEST 1992,Premier League,2018/2019,Forward,0,Congo DR,0,0,0,0,0
Emerson Hyndman,25,Tue Apr 09 02:00:00 CEST 1996,Premier League,2018/2019,Midfielder,0,USA,0,0,0,0,0
Emerson Palmieri dos Santos,27,Wed Aug 03 02:00:00 CEST 1994,Premier League,2018/2019,Defender,0,Italy,0,0,0,0,0
Emile Smith Rowe,21,Fri Jul 28 02:00:00 CEST 2000,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Eric Bertrand Bailly,27,Tue Apr 12 02:00:00 CEST 1994,Premier League,2018/2019,Defender,0,Côte d'Ivoire,0,0,0,0,0
Eric Dier,27,Sat Jan 15 01:00:00 CET 1994,Premier League,2018/2019,Midfielder,0,England,3,2,1,0,0
Erik Durm,29,Tue May 12 02:00:00 CEST 1992,Premier League,2018/2019,Defender,0,Germany,0,0,0,0,0
Erik Lamela,29,Wed Mar 04 01:00:00 CET 1992,Premier League,2018/2019,Midfielder,0,Argentina,4,1,3,0,0
Ethan Ampadu,21,Thu Sep 14 02:00:00 CEST 2000,Premier League,2018/2019,Midfielder,0,Wales,0,0,0,0,0
Etienne Capoue,33,Mon Jul 11 02:00:00 CEST 1988,Premier League,2018/2019,Midfielder,0,France,1,0,1,0,0
Fabián Cornelio Balbuena González,30,Fri Aug 23 02:00:00 CEST 1991,Premier League,2018/2019,Defender,0,Paraguay,1,0,1,0,0
Fabian Delph,32,Tue Nov 21 01:00:00 CET 1989,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Fabian Schär,30,Fri Dec 20 01:00:00 CET 1991,Premier League,2018/2019,Defender,0,Switzerland,4,3,1,0,0
Fabinho,28,Sat Oct 23 01:00:00 CET 1993,Premier League,2018/2019,Midfielder,0,Brazil,1,1,0,0,0
Fabricio Martín Agosto Ramírez,34,Thu Dec 31 01:00:00 CET 1987,Premier League,2018/2019,Goalkeeper,0,Spain,0,0,0,0,0
Faustino Marcos Alberto Rojo,31,Tue Mar 20 01:00:00 CET 1990,Premier League,2018/2019,Defender,0,Argentina,0,0,0,0,0
Federico Fernández,32,Tue Feb 21 01:00:00 CET 1989,Premier League,2018/2019,Defender,0,Argentina,0,0,0,0,0
Felipe Anderson Pereira Gomes,28,Thu Apr 15 02:00:00 CEST 1993,Premier League,2018/2019,Midfielder,0,Brazil,9,4,5,0,0
Fernando Llorente Torres,36,Tue Feb 26 01:00:00 CET 1985,Premier League,2018/2019,Forward,0,Spain,1,1,0,0,0
Fernando Luiz Rosa,36,Sat May 04 02:00:00 CEST 1985,Premier League,2018/2019,Midfielder,0,Brazil,1,1,0,0,0
Florent Hadergjonaj,27,Sun Jul 31 02:00:00 CEST 1994,Premier League,2018/2019,Defender,0,Switzerland,0,0,0,0,0
Florian Lejeune,30,Mon May 20 02:00:00 CEST 1991,Premier League,2018/2019,Defender,0,France,0,0,0,0,0
Florin Andone,28,Sun Apr 11 02:00:00 CEST 1993,Premier League,2018/2019,Forward,0,Romania,3,2,1,0,0
Floyd Ayité,33,Thu Dec 15 01:00:00 CET 1988,Premier League,2018/2019,Midfielder,0,Togo,1,0,1,0,0
Fousseni Diabaté,26,Wed Oct 18 01:00:00 CET 1995,Premier League,2018/2019,Midfielder,0,Mali,0,0,0,0,0
Francisco Femenía Far,30,Sat Feb 02 01:00:00 CET 1991,Premier League,2018/2019,Midfielder,0,Spain,1,1,0,0,0
Fraser Forster,33,Thu Mar 17 01:00:00 CET 1988,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
Freddie Woodman,24,Tue Mar 04 01:00:00 CET 1997,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
Frederico Rodrigues Santos,28,Fri Mar 05 01:00:00 CET 1993,Premier League,2018/2019,Midfielder,0,Brazil,1,1,0,0,0
